고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량,기준 식수량
리벨리온,수,25,베이직,7:3,IT,25,간장삼겹케일볶음,한식,0.3,0.5,0.4,131,140,28
리벨리온,목,25,베이직,7:3,IT,25,소고기강된장비빔밥,한식,0.4,0.4,0.5,131,140,28
리벨리온,금,26,베이직,7:3,IT,26,삼겹살바베큐,한식,0.5,0.6,0.6,151,160,28
리벨리온,월,26,베이직,7:3,IT,28,연어타다키,일식,0,0.5,0,106,120,28
리벨리온,화,25,베이직,7:3,IT,25,간장숯불돼지고기,한식,0.3,0.6,0.6,131,140,28
리벨리온,수,26,베이직,7:3,IT,20,김치오겹두루치기,한식,0.5,0.6,0.5,131,140,28
리벨리온,목,22,베이직,7:3,IT,20,묵채밥,한식,0.4,0.1,0,191,200,28
리벨리온,금,21,베이직,7:3,IT,21,불란서샌드위치,양식,0,0.3,0.5,191,210,28
리벨리온,월,26,베이직,7:3,IT,19,망고 쉬림프 샌드위치,양식,0,0.2,0.5,191,210,28
리벨리온,화,26,베이직,7:3,IT,24,된장차슈,일식,0.3,0.6,0.5,126,140,28
리벨리온,수,26,베이직,7:3,IT,21,소고기고추장불고기,한식,0.7,0.5,0.6,131,140,28
리벨리온,목,22,베이직,7:3,IT,18,아보카도 명란 마요덮밥,일식,0.2,0.8,0.4,186,200,28
리벨리온,금,22,베이직,7:3,IT,17,로스트비프 샌드위치,양식,0.2,0.2,0.5,191,210,28
리벨리온,월,22,베이직,7:3,IT,16,토마토 바질페스토 크로와상,양식,0,0.2,0.5,121,140,28
리벨리온,화,25,베이직,7:3,IT,15,아마트리치아나 파스타,양식,0.7,0.5,0.4,121,140,28
리벨리온,수,26,베이직,7:3,IT,12,유산슬덮밥,중식,0.5,0.6,0.3,186,200,28
리벨리온,목,26,베이직,7:3,IT,4,돼지고기 지짐이,한식,0.2,0.5,0.5,131,140,28
리벨리온,금,25,베이직,7:3,IT,5,참치김치볶음밥,한식,0.8,0.7,0.5,191,200,28
리벨리온,월,25,베이직,7:3,IT,13,된장차슈,일식,0.3,0.6,0.5,126,140,28
리벨리온,화,16,베이직,7:3,IT,6,돼지갈비찜,한식,0.5,0.6,0.6,131,140,28
리벨리온,수,17,베이직,7:3,IT,5,레드커리,아시안,0.6,0.3,0.1,116,140,28
리벨리온,목,26,베이직,7:3,IT,7,카라멜라이즈 차슈 비빔 파스타,아시안,0.7,0.5,0.7,116,140,28
리벨리온,금,22,베이직,7:3,IT,10,바지락칼국수,한식,0.3,0.6,0,151,160,28
리벨리온,월,17,베이직,7:3,IT,10,포크&글레이즈애플샐러드,양식,0,0.3,0.7,201,220,28
리벨리온,화,22,베이직,7:3,IT,11,분보싸오,아시안,0.2,0.4,0.5,136,160,28
리벨리온,수,17,베이직,7:3,IT,4,씨푸드 크림 리조또,양식,0.1,0.3,0.5,141,160,28
리벨리온,목,26,베이직,7:3,IT,6,에그누들볶음,아시안,0.5,0.5,0.4,116,140,28
리벨리온,금,25,베이직,7:3,IT,7,스팸김치볶음밥,한식,0.6,0.5,0.5,191,200,28
리벨리온,월,,베이직,7:3,IT,-5,매콤차돌박이덮밥,한식,0.8,0.4,0.6,186,200,28
