client_name,day_of_week,quantity,서비스 종류,성비(남:녀),업종,temperature,메인 메뉴,food_class,spicy,food_temperature_level,basic_quantity
버핏서울,월,16,베이직,7:3,헬스케어,3,소고기고추장볶음,한식,0.7,1,35
부농,월,20,베이직,7:3,제조,3,소고기고추장볶음,한식,0.7,1,25
분당메모리얼파크,월,25,베이직,5:5,서비스,3,소고기고추장볶음,한식,0.7,1,40
비트센싱,월,18,베이직,6:4,IT,3,소고기고추장볶음,한식,0.7,1,36
비헤이브글로벌,월,26,베이직,5:5,마케팅,3,소고기고추장볶음,한식,0.7,1,35
세종메디칼,월,23,베이직,7:3,의료,3,소고기고추장볶음,한식,0.7,1,70
소프트팩,월,44,베이직,3:7,식음료,3,소고기고추장볶음,한식,0.7,1,55
슈퍼진,월,14,베이직,7:3,게임,3,소고기고추장볶음,한식,0.7,1,55
스탠다드치과,월,14,베이직,7:3,의료,3,소고기고추장볶음,한식,0.7,1,30
알파투쎄븐쓰리,월,35,베이직,7:3,IT,3,소고기고추장볶음,한식,0.7,1,20
엔라이즈,월,28,베이직,7:3,IT,3,소고기고추장볶음,한식,0.7,1,40
엠레드클리닉,월,19,베이직,2:8,미용,3,소고기고추장볶음,한식,0.7,1,30
오가나셀피부과,월,28,프리미엄,3:7,미용,3,소고기고추장볶음,한식,0.7,1,45
오누이,월,22,프리미엄,8:2,IT,3,소고기고추장볶음,한식,0.7,1,50
위시켓,월,29,베이직,6:4,IT,3,소고기고추장볶음,한식,0.7,1,130
이노레드,월,52,베이직,8:2,마케팅,3,소고기고추장볶음,한식,0.7,1,95
뱅크샐러드,화,48,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0,50
버핏서울,화,19,베이직,7:3,헬스케어,1,그릴소시지 하리사 롤빵,한식,0,0,35
부농,화,24,베이직,7:3,제조,1,그릴소시지 하리사 롤빵,한식,0,0,25
분당메모리얼파크,화,29,베이직,5:5,서비스,1,그릴소시지 하리사 롤빵,한식,0,0,40
비트센싱,화,21,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0,36
비헤이브글로벌,화,30,베이직,5:5,마케팅,1,그릴소시지 하리사 롤빵,한식,0,0,35
세종메디칼,화,28,베이직,7:3,의료,1,그릴소시지 하리사 롤빵,한식,0,0,70
소프트팩,화,52,베이직,3:7,식음료,1,그릴소시지 하리사 롤빵,한식,0,0,55
슈퍼진,화,16,베이직,7:3,게임,1,그릴소시지 하리사 롤빵,한식,0,0,55
스탠다드치과,화,17,베이직,7:3,의료,1,그릴소시지 하리사 롤빵,한식,0,0,30
알파투쎄븐쓰리,화,42,베이직,7:3,IT,1,그릴소시지 하리사 롤빵,한식,0,0,20
엔라이즈,화,33,베이직,7:3,IT,1,그릴소시지 하리사 롤빵,한식,0,0,40
엠레드클리닉,화,23,베이직,2:8,미용,1,그릴소시지 하리사 롤빵,한식,0,0,30
오가나셀피부과,화,33,프리미엄,3:7,미용,1,그릴소시지 하리사 롤빵,한식,0,0,45
오누이,화,27,프리미엄,8:2,IT,1,그릴소시지 하리사 롤빵,한식,0,0,50
위시켓,화,34,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0,130
이노레드,화,62,베이직,8:2,마케팅,1,그릴소시지 하리사 롤빵,한식,0,0,95
슈퍼진,수,17,베이직,7:3,게임,0,오징어삼겹두루치기,한식,0.8,1,55
스탠다드치과,수,18,베이직,7:3,의료,0,오징어삼겹두루치기,한식,0.8,1,30
알파투쎄븐쓰리,수,44,베이직,7:3,IT,0,오징어삼겹두루치기,한식,0.8,1,20
엔라이즈,수,35,베이직,7:3,IT,0,오징어삼겹두루치기,한식,0.8,1,40
엠레드클리닉,수,24,베이직,2:8,미용,0,오징어삼겹두루치기,한식,0.8,1,30
오가나셀피부과,수,35,프리미엄,3:7,미용,0,오징어삼겹두루치기,한식,0.8,1,45
오누이,수,28,프리미엄,8:2,IT,0,오징어삼겹두루치기,한식,0.8,1,50
위시켓,수,36,베이직,6:4,IT,0,오징어삼겹두루치기,한식,0.8,1,130
이노레드,수,65,베이직,8:2,마케팅,0,오징어삼겹두루치기,한식,0.8,1,95
코렘시스,수,18,베이직,8:2,건설,0,오징어삼겹두루치기,한식,0.8,1,18
쿼터백,수,22,베이직,7:3,IT,0,오징어삼겹두루치기,한식,0.8,1,25
비트센싱,목,20,베이직,6:4,IT,3,궁보계정,중식,0.4,1,36
비헤이브글로벌,목,29,베이직,5:5,마케팅,3,궁보계정,중식,0.4,1,35
세종메디칼,목,26,베이직,7:3,의료,3,궁보계정,중식,0.4,1,70
소프트팩,목,50,베이직,3:7,식음료,3,궁보계정,중식,0.4,1,55
슈퍼진,목,15,베이직,7:3,게임,3,궁보계정,중식,0.4,1,55
스탠다드치과,목,16,베이직,7:3,의료,3,궁보계정,중식,0.4,1,30
알파투쎄븐쓰리,목,40,베이직,7:3,IT,3,궁보계정,중식,0.4,1,20
엔라이즈,목,32,베이직,7:3,IT,3,궁보계정,중식,0.4,1,40
엠레드클리닉,목,22,베이직,2:8,미용,3,궁보계정,중식,0.4,1,30
오가나셀피부과,목,32,프리미엄,3:7,미용,3,궁보계정,중식,0.4,1,45
오누이,목,25,프리미엄,8:2,IT,3,궁보계정,중식,0.4,1,50
위시켓,목,32,베이직,6:4,IT,3,궁보계정,중식,0.4,1,130
이노레드,목,59,베이직,8:2,마케팅,3,궁보계정,중식,0.4,1,95
프롬더레드,금,19,베이직,7:3,게임,6,스팸김치볶음밥,한식,0.6,1,30
플레이링스,금,19,베이직,7:3,게임,6,스팸김치볶음밥,한식,0.6,1,30
핏투게더,금,26,프리미엄,8:2,IT,6,스팸김치볶음밥,한식,0.6,1,55
한국다이와,금,34,프리미엄,7:3,헬스케어,6,스팸김치볶음밥,한식,0.6,1,35
휴이노,금,48,베이직,8:2,IT,6,스팸김치볶음밥,한식,0.6,1,80
NC문화재단,금,19,프리미엄,7:3,게임,6,스팸김치볶음밥,한식,0.6,1,22
S2W,금,30,베이직,6:4,IT,6,스팸김치볶음밥,한식,0.6,1,50
WMS,금,23,베이직,5:5,IT,6,스팸김치볶음밥,한식,0.6,1,30
구름,금,39,베이직,6:4,IT,6,스팸김치볶음밥,한식,0.6,1,55
긱스빈,금,21,베이직,7:3,전기전자,6,스팸김치볶음밥,한식,0.6,1,35
네스필러피케이지,금,23,베이직,6:4,미용,6,스팸김치볶음밥,한식,0.6,1,30
더퍼스트터치,금,30,베이직,7:3,제조,6,스팸김치볶음밥,한식,0.6,1,95
디엔코리아,금,21,베이직,7:3,IT,6,스팸김치볶음밥,한식,0.6,1,35
로지올,금,61,베이직,7:3,IT,6,스팸김치볶음밥,한식,0.6,1,75
리벨리온,금,24,베이직,7:3,IT,6,스팸김치볶음밥,한식,0.6,1,28
마인드로직,금,17,베이직,5:5,IT,6,스팸김치볶음밥,한식,0.6,1,25
메드트로닉,금,68,베이직,7:3,무역,6,스팸김치볶음밥,한식,0.6,1,75
코렘시스,월,14,베이직,8:2,건설,5,떡국,한식,0,2,18
쿼터백,월,18,베이직,7:3,IT,5,떡국,한식,0,2,25
크래프톤,월,96,베이직,7:3,게임,5,떡국,한식,0,2,120
크립토파라다이스,월,19,베이직,6:4,게임,5,떡국,한식,0,2,20
테거스,월,17,베이직,7:3,IT,5,떡국,한식,0,2,20
테스시스템,월,18,프리미엄,7:3,IT,5,떡국,한식,0,2,22
프롬더레드,월,18,베이직,7:3,게임,5,떡국,한식,0,2,30
플레이링스,월,18,베이직,7:3,게임,5,떡국,한식,0,2,30
핏투게더,월,24,프리미엄,8:2,IT,5,떡국,한식,0,2,55
한국다이와,월,31,프리미엄,7:3,헬스케어,5,떡국,한식,0,2,35
휴이노,월,44,베이직,8:2,IT,5,떡국,한식,0,2,80
스탠다드치과,화,17,베이직,7:3,의료,2,돼지고기 김치볶음,한식,0.7,1,30
알파투쎄븐쓰리,화,42,베이직,7:3,IT,2,돼지고기 김치볶음,한식,0.7,1,20
엔라이즈,화,33,베이직,7:3,IT,2,돼지고기 김치볶음,한식,0.7,1,40
엠레드클리닉,화,23,베이직,2:8,미용,2,돼지고기 김치볶음,한식,0.7,1,30
오가나셀피부과,화,33,프리미엄,3:7,미용,2,돼지고기 김치볶음,한식,0.7,1,45
오누이,화,27,프리미엄,8:2,IT,2,돼지고기 김치볶음,한식,0.7,1,50
위시켓,화,34,베이직,6:4,IT,2,돼지고기 김치볶음,한식,0.7,1,130
이노레드,화,62,베이직,8:2,마케팅,2,돼지고기 김치볶음,한식,0.7,1,95
코렘시스,화,17,베이직,8:2,건설,2,돼지고기 김치볶음,한식,0.7,1,18
쿼터백,화,21,베이직,7:3,IT,2,돼지고기 김치볶음,한식,0.7,1,25
크래프톤,화,114,베이직,7:3,게임,2,돼지고기 김치볶음,한식,0.7,1,120
메드트로닉,수,78,베이직,7:3,무역,-1,간장 돼지 쪽갈비,한식,0.3,1,75
뱅크샐러드,수,50,베이직,6:4,IT,-1,간장 돼지 쪽갈비,한식,0.3,1,50
버핏서울,수,20,베이직,7:3,헬스케어,-1,간장 돼지 쪽갈비,한식,0.3,1,35
부농,수,25,베이직,7:3,제조,-1,간장 돼지 쪽갈비,한식,0.3,1,25
분당메모리얼파크,수,31,베이직,5:5,서비스,-1,간장 돼지 쪽갈비,한식,0.3,1,40
비트센싱,수,22,베이직,6:4,IT,-1,간장 돼지 쪽갈비,한식,0.3,1,36
비헤이브글로벌,수,32,베이직,5:5,마케팅,-1,간장 돼지 쪽갈비,한식,0.3,1,35
세종메디칼,수,29,베이직,7:3,의료,-1,간장 돼지 쪽갈비,한식,0.3,1,70
소프트팩,수,55,베이직,3:7,식음료,-1,간장 돼지 쪽갈비,한식,0.3,1,55
슈퍼진,수,17,베이직,7:3,게임,-1,간장 돼지 쪽갈비,한식,0.3,1,55
스탠다드치과,수,18,베이직,7:3,의료,-1,간장 돼지 쪽갈비,한식,0.3,1,30
알파투쎄븐쓰리,수,44,베이직,7:3,IT,-1,간장 돼지 쪽갈비,한식,0.3,1,20
엔라이즈,수,35,베이직,7:3,IT,-1,간장 돼지 쪽갈비,한식,0.3,1,40
엠레드클리닉,수,24,베이직,2:8,미용,-1,간장 돼지 쪽갈비,한식,0.3,1,30
오가나셀피부과,수,35,프리미엄,3:7,미용,-1,간장 돼지 쪽갈비,한식,0.3,1,45
오누이,수,28,프리미엄,8:2,IT,-1,간장 돼지 쪽갈비,한식,0.3,1,50
위시켓,수,36,베이직,6:4,IT,-1,간장 돼지 쪽갈비,한식,0.3,1,130
이노레드,수,65,베이직,8:2,마케팅,-1,간장 돼지 쪽갈비,한식,0.3,1,95
코렘시스,목,16,베이직,8:2,건설,4,돼지고기양배추볶음,한식,0.3,1,18
쿼터백,목,20,베이직,7:3,IT,4,돼지고기양배추볶음,한식,0.3,1,25
크래프톤,목,108,베이직,7:3,게임,4,돼지고기양배추볶음,한식,0.3,1,120
크립토파라다이스,목,22,베이직,6:4,게임,4,돼지고기양배추볶음,한식,0.3,1,20
테거스,목,19,베이직,7:3,IT,4,돼지고기양배추볶음,한식,0.3,1,20
테스시스템,목,20,프리미엄,7:3,IT,4,돼지고기양배추볶음,한식,0.3,1,22
프롬더레드,목,20,베이직,7:3,게임,4,돼지고기양배추볶음,한식,0.3,1,30
플레이링스,목,20,베이직,7:3,게임,4,돼지고기양배추볶음,한식,0.3,1,30
핏투게더,목,27,프리미엄,8:2,IT,4,돼지고기양배추볶음,한식,0.3,1,55
한국다이와,목,35,프리미엄,7:3,헬스케어,4,돼지고기양배추볶음,한식,0.3,1,35
휴이노,목,50,베이직,8:2,IT,4,돼지고기양배추볶음,한식,0.3,1,80
NC문화재단,목,20,프리미엄,7:3,게임,4,돼지고기양배추볶음,한식,0.3,1,22
S2W,목,32,베이직,6:4,IT,4,돼지고기양배추볶음,한식,0.3,1,50
WMS,목,24,베이직,5:5,IT,4,돼지고기양배추볶음,한식,0.3,1,30
더퍼스트터치,금,30,베이직,7:3,제조,6,비빔파스타,한식,0.8,0,95
마인드로직,금,17,베이직,5:5,IT,6,비빔파스타,한식,0.8,0,25
메드트로닉,금,68,베이직,7:3,무역,6,비빔파스타,한식,0.8,0,75
뱅크샐러드,금,44,베이직,6:4,IT,6,비빔파스타,한식,0.8,0,50
비트센싱,금,19,베이직,6:4,IT,6,비빔파스타,한식,0.8,0,36
비헤이브글로벌,금,28,베이직,5:5,마케팅,6,비빔파스타,한식,0.8,0,35
세종메디칼,금,25,베이직,7:3,의료,6,비빔파스타,한식,0.8,0,70
알파투쎄븐쓰리,금,38,베이직,7:3,IT,6,비빔파스타,한식,0.8,0,20
위시켓,금,31,베이직,6:4,IT,6,비빔파스타,한식,0.8,0,130
코렘시스,금,16,베이직,8:2,건설,6,비빔파스타,한식,0.8,0,18
쿼터백,금,19,베이직,7:3,IT,6,비빔파스타,한식,0.8,0,25
크래프톤,금,104,베이직,7:3,게임,6,비빔파스타,한식,0.8,0,120
크립토파라다이스,금,21,베이직,6:4,게임,6,비빔파스타,한식,0.8,0,20
휴이노,금,48,베이직,8:2,IT,6,비빔파스타,한식,0.8,0,80
NC문화재단,금,19,프리미엄,7:3,게임,6,비빔파스타,한식,0.8,0,22
긱스빈,월,19,베이직,7:3,전기전자,5,바싹불고기,한식,0.3,1,35
버핏서울,월,16,베이직,7:3,헬스케어,5,바싹불고기,한식,0.3,1,35
부농,월,20,베이직,7:3,제조,5,바싹불고기,한식,0.3,1,25
분당메모리얼파크,월,25,베이직,5:5,서비스,5,바싹불고기,한식,0.3,1,40
비트센싱,월,18,베이직,6:4,IT,5,바싹불고기,한식,0.3,1,36
비헤이브글로벌,월,26,베이직,5:5,마케팅,5,바싹불고기,한식,0.3,1,35
세종메디칼,월,23,베이직,7:3,의료,5,바싹불고기,한식,0.3,1,70
소프트팩,월,44,베이직,3:7,식음료,5,바싹불고기,한식,0.3,1,55
슈퍼진,월,14,베이직,7:3,게임,5,바싹불고기,한식,0.3,1,55
알파투쎄븐쓰리,월,35,베이직,7:3,IT,5,바싹불고기,한식,0.3,1,20
엔라이즈,월,28,베이직,7:3,IT,5,바싹불고기,한식,0.3,1,40
위시켓,월,29,베이직,6:4,IT,5,바싹불고기,한식,0.3,1,130
이노레드,월,52,베이직,8:2,마케팅,5,바싹불고기,한식,0.3,1,95
휴이노,월,44,베이직,8:2,IT,5,바싹불고기,한식,0.3,1,80
NC문화재단,월,18,프리미엄,7:3,게임,5,바싹불고기,한식,0.3,1,22
S2W,월,28,베이직,6:4,IT,5,바싹불고기,한식,0.3,1,50
WMS,월,22,베이직,5:5,IT,5,바싹불고기,한식,0.3,1,30
네스필러피케이지,화,26,베이직,6:4,미용,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,30
더퍼스트터치,화,32,베이직,7:3,제조,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,95
로지올,화,67,베이직,7:3,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,75
리벨리온,화,27,베이직,7:3,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,28
마인드로직,화,19,베이직,5:5,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,25
메드트로닉,화,74,베이직,7:3,무역,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,75
뱅크샐러드,화,48,베이직,6:4,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,50
위시켓,화,34,베이직,6:4,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,130
이노레드,화,62,베이직,8:2,마케팅,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,95
코렘시스,화,17,베이직,8:2,건설,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,18
크래프톤,화,114,베이직,7:3,게임,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,120
휴이노,화,52,베이직,8:2,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,80
NC문화재단,화,21,프리미엄,7:3,게임,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,22
S2W,화,33,베이직,6:4,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,1,50
더퍼스트터치,수,34,베이직,7:3,제조,7,육회비빔밥,한식,0.5,1,95
로지올,수,70,베이직,7:3,IT,7,육회비빔밥,한식,0.5,1,75
리벨리온,수,28,베이직,7:3,IT,7,육회비빔밥,한식,0.5,1,28
마인드로직,수,20,베이직,5:5,IT,7,육회비빔밥,한식,0.5,1,25
메드트로닉,수,78,베이직,7:3,무역,7,육회비빔밥,한식,0.5,1,75
알파투쎄븐쓰리,수,44,베이직,7:3,IT,7,육회비빔밥,한식,0.5,1,20
엔라이즈,수,35,베이직,7:3,IT,7,육회비빔밥,한식,0.5,1,40
