고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량
버드뷰,수,34,베이직,7:3,IT,0,소고기데리야끼,일식,0.3,0.5,0.7,120,140
버킷플레이스,수,134,베이직,5:5,IT,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
버튼,수,27,베이직,6:4,게임,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
버핏서울,수,20,베이직,7:3,헬스케어,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
부농,수,25,베이직,7:3,제조,0,소고기데리야끼,일식,0.3,0.5,0.7,114,140
분당메모리얼파크,수,31,베이직,5:5,서비스,0,소고기데리야끼,일식,0.3,0.5,0.7,123,140
뷰노,수,94,베이직,7:3,의료,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
비트센싱,수,22,베이직,6:4,IT,0,소고기데리야끼,일식,0.3,0.5,0.7,112,140
비헤이브글로벌,수,32,베이직,5:5,마케팅,0,소고기데리야끼,일식,0.3,0.5,0.7,123,140
세종메디칼,수,29,베이직,7:3,의료,0,소고기데리야끼,일식,0.3,0.5,0.7,116,140
세컨신드롬,수,24,베이직,6:4,임대,0,소고기데리야끼,일식,0.3,0.5,0.7,120,140
소프트팩,수,55,베이직,3:7,식음료,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
슈퍼진,수,17,베이직,7:3,게임,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
스노우폭스,수,67,베이직,6:4,식음료,0,소고기데리야끼,일식,0.3,0.5,0.7,123,140
스탠다드치과,수,18,베이직,7:3,의료,0,소고기데리야끼,일식,0.3,0.5,0.7,123,140
시지바이오,수,106,베이직,7:3,의료,0,소고기데리야끼,일식,0.3,0.5,0.7,123,140
쓰리빌리언,수,32,베이직,7:3,의료,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
알파투쎄븐쓰리,수,44,베이직,7:3,IT,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140
